miR,num,total
gma-miR10419,0,1
gma-miR10440,0,1
gma-miR1507a,0,7
gma-miR1507b,0,7
gma-miR1507c-3p,0,9
gma-MIR1508a-5pNew,2,2
gma-miR1508c,0,14
gma-miR1509a,0,5
gma-miR1509b,0,5
gma-miR1510a-5p,0,1
gma-miR1510b-3p,0,16
gma-miR1510b-5p,0,2
gma-miR1512c,0,1
"gma-miR1513(a-5p,b)",0,3
gma-miR1513b-5pNew,0,1
gma-miR1513c-NV,0,4
gma-miR1514a-5p-NV,0,3
"gma-miR1515(a,b)",0,1
"gma-miR156(a,h,u,v,w,x,y)",7,20
"gma-miR156(b,f)-NV",8,24
"gma-miR156(c,d,i,j,l,m)",7,23
"gma-miR156(k,n,o)",11,22
"gma-miR156(p,t)",2,19
"gma-miR156(q,s)",3,18
gma-miR156e,2,21
gma-miR156f,2,24
"gma-miR159(a-3p,e-3p)",1,8
gma-miR159a-5p,0,8
gma-miR159d,0,1
gma-miR159e-5p,0,9
"gma-miR160(a-5p,f)",2,13
"gma-miR160(b,c,d,e)",3,14
"gma-miR162(b,c)",0,4
gma-miR162a,0,1
"gma-miR164(a,e,f,g,h,i,j,k)",2,11
"gma-miR164(b,c,d)",1,13
"gma-miR166(h-3p,k)",0,1
"gma-miR166(h-5p,j-5p)",0,1
"gma-miR166(p,q,r,s,t)",0,1
gma-miR166u,0,4
"gma-miR167(a,b,d)",5,21
"gma-miR167(c,j)",1,20
"gma-miR167(e,f)",5,21
gma-miR167g,1,13
"gma-miR168(a-3p,b-3p)New",1,1
gma-miR168a,1,4
gma-miR168b,0,5
"gma-miR169(a,f,g,m)",8,15
"gma-miR169(k,l-5p)",9,14
"gma-miR169(o,r)",0,3
gma-miR169d,3,15
gma-miR169j-5p,7,14
gma-miR169j-5p-NV,0,3
gma-miR169n-3p,0,2
"gma-miR171(c-3p,o-3p,q)",0,11
"gma-miR171(e,f,g,j-3p,u)",2,3
"gma-miR171(m,t)",0,5
"gma-miR171(n,p)",0,5
"gma-miR171(r,s)",0,5
gma-miR171b-3p,0,4
gma-miR171d,0,3
gma-miR171i-3p,0,11
gma-miR171j-5p,0,1
gma-miR171k-3p,0,11
"gma-miR172(a,b-3p,h-3p)",0,15
gma-miR172c,2,16
gma-miR2109-5p,0,12
"gma-miR2111(b,c,e,f)",1,4
"gma-miR2118(a-3p,b-3p)",0,10
gma-miR2118a-3p-NV,0,2
"gma-miR319(a,b,e)",4,13
"gma-miR319(d,o)",0,4
"gma-miR319(g,l)",0,12
"gma-miR319(h,j,k,m)",3,12
gma-miR319c,0,15
gma-miR319i,0,2
gma-miR319n,0,5
gma-miR319p,2,14
gma-miR319q,0,9
gma-miR3522-NV2,0,4
"gma-miR390(a-3p,c)",0,2
"gma-miR390(a-5p,f,g)",0,5
"gma-miR390(b-5p,d)",2,6
gma-miR390e,0,4
gma-miR390f-NV,0,1
"gma-miR393(c-5p,d,e,f,g)",1,8
"gma-miR393(h,i,j,k)",0,10
"gma-miR393(h,i,j,k)-NV",0,9
gma-miR393a,0,8
gma-miR393c-3p,0,5
"gma-miR394(a-5p,b-5p,c-5p,d,e,f,g)",2,8
gma-miR394a-3p-NV,0,3
"gma-miR395(a,b,c)",0,8
"gma-miR396(a-5p,i-5p)",6,36
"gma-miR396(b-3p,k-3p)",1,1
"gma-miR396(b-5p,c,k-5p)",3,31
gma-miR396a-3p,0,2
gma-miR396d,1,1
gma-miR396h,1,15
gma-miR396i-3p,0,1
"gma-miR397(a,b-5p)",0,12
"gma-miR398(a,b-3p)-NV",1,6
"gma-miR398(a,b)",0,4
"gma-miR398(c,d)",3,5
"gma-miR399(a,b,c,h)",0,3
"gma-miR399(d,e,f,g)",0,3
gma-miR399i,0,3
"gma-miR403(a,b)",0,1
"gma-miR408(a-3p,b-3p,c-3p)",1,13
"gma-miR408(a-5p,c-5p)",0,2
gma-miR408d,0,16
gma-MIR4345-3pNew,0,2
gma-miR4346,0,1
gma-miR4348d,0,4
gma-miR4351,0,1
gma-miR4364a,0,1
gma-miR4374c,0,2
gma-miR4379,0,2
gma-miR4387e,0,1
gma-miR4397-5p,0,1
gma-miR4407,0,3
gma-miR4412-5p,0,2
gma-miR4413b,0,9
gma-miR4414-3p,0,1
gma-miR4414-5p,0,1
"gma-miR4415(a-3p,b-3p)",0,6
"gma-miR4416(a-5pNew, b-NV)",0,1
gma-miR4416b,0,3
"gma-miR482(a-5p-NV, c-5p-NV)",0,2
"gma-miR482(b-3p,d-3p)",0,1
gma-miR482a-5p,0,3
gma-miR482c-3p,0,3
gma-miR482c-5p-NV,0,3
gma-MIR482c-5p-NV2,1,2
gma-miR482e,0,1
gma-miR4996,0,13
gma-miR4998-3pNew,0,2
gma-miR5036,0,2
gma-miR5037a-5p-NV_ 5044-5pNew,0,2
"gma-miR5038(a,b)",0,2
gma-miR5043,0,1
gma-miR5372,0,3
gma-miR5374-5p,0,3
gma-miR5559,0,1
gma-miR5667-3p,0,1
gma-miR5671b,0,3
gma-miR5672,0,3
gma-miR5770a,0,4
gma-miR5770b-NV,0,3
gma-miR5783,0,4
gma-miR5786-NV,0,2
"gma-miR828(a,b)",0,2
gma-miR862a,0,2
gma-miR862b,0,4
gma-miR9730,0,2
gma-miR9736,0,1
gma-miR9757,0,1
gma-miR9765,0,1
gma-miR9765-NV,0,2
gma-miRPubNew140,0,4
gma-miRPubNew169,0,1
gma-miRPubNew170,0,1
gma-miRPubNew187,1,2
gma-miRPubNew276,0,1
gma-miRPubNew519,0,6
gma-miRPubNew569,0,2
gma-miRPubNew661,0,1
gma-miRPubNew714,0,1
gma-miRPubNew811,0,1
gma-miRPubNew862,0,2
miRC14,0,1
novel-miRNA-20,0,1
novel-miRNA-3,0,1
novel-miRNA-39,0,1
novel-miRNA-72,0,1
novel-miRNA-81,0,1
